Time (t),[Measured] Current Position ~ r(t) (m)_X,[Measured] Current Position ~ r(t) (m)_Y,[Measured] Steering Angles ~ delta(t) (deg)_FL,[Measured] Steering Angles ~ delta(t) (deg)_FR,[Measured] Current Yaw Angle ~ Phi(t) (deg),[Measured] Steering Wheel Angle ~ Theta(t) (deg),[Computed] Turning Radius ~ R(delta) (m),[Computed] Vehicle Steering Angle ~ Delta(t) (deg),[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_X,[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_Y,[Computed] Current Error to Trajectory ~ e(t),[Computed] Predicted Position ~ r_tp(t) (m)_X,[Computed] Predicted Position ~ r_tp(t) (m)_Y,[Computed] Change of Yaw Angle ~ Delta_phi(t) (deg),[Computed] Predicted Yaw Angle ~ Phi_tp(t) (deg),[Computed] Predicted Error to Trajectory ~ eps_tp(t),[Computed] Desired Steering Wheel Angle ~ Theta_d(t) (deg),[Computed] Torque applied ~ Tau_das (N.m)
1741675268.4877138,-2.21546435,-31.60477066,10,10,-271.2944336,4.536751165357343,17.09374533475223,4.536751165357343,-19.281847096959734,-32.571574416529266,0.0,-36.37556119265015,-32.53889438962758,-3.3518563890499666,-274.64628998905,-34.17286647973053,-974.4437604109637,-0.0
1741675268.4907155,-36.37556119265015,-32.53889438962758,-47.95,-69.99,-274.64628998905,-51.01806904458427,1.739370821172927,-51.01806904458427,-35.39448679446314,-33.97517565691814,34.17286647973053,-33.790130377799684,-34.64707694569394,32.940520109705815,-241.70576987934416,-31.72089472734116,-959.7547641723017,-270.9984750337544
1741675268.4947135,-33.790130377799684,-34.64707694569394,-47.95,-69.99,-241.70576987934416,-51.01806904458427,1.739370821172927,-51.01806904458427,-32.18577396113623,-35.31897823446974,31.72089472734116,-30.473982587143638,-35.010463817509454,32.940520109705815,-208.7652497696383,-28.46300403755876,-866.4230708525537,-225.71798867482198
1741675268.4987144,-30.473982587143638,-35.010463817509454,-47.95,-69.99,-208.7652497696383,-51.01806904458427,1.739370821172927,-51.01806904458427,-28.76219121315105,-34.70194940054917,28.46300403755876,-27.493355393812813,-33.51221559960374,32.940520109705815,-175.82472965993247,-25.34975585327188,-777.2350800843511,-180.38255080070158
1741675268.5027168,-27.493355393812813,-33.51221559960374,-47.95,-69.99,-175.82472965993247,-51.01806904458427,1.739370821172927,-51.01806904458427,-26.224519574474577,-32.322481798658316,25.34975585327188,-27.936310948467167,-32.6309962156186,-32.940520109705815,-208.7652497696383,-25.741310934621893,-788.4523068884798,-163.13398688395569
1741675268.5067155,-27.936310948467167,-32.6309962156186,-47.95,-69.99,-208.7652497696383,-51.01806904458427,1.739370821172927,-51.01806904458427,-26.224519574474577,-32.322481798658316,25.741310934621893,-24.95568375513634,-31.13274799771289,32.940520109705815,-175.82472965993247,-22.745117805530313,-702.6176964369581,-146.37228741919014
1741675268.510717,-24.95568375513634,-31.13274799771289,-47.95,-69.99,-175.82472965993247,-51.01806904458427,1.739370821172927,-51.01806904458427,-23.686847935798106,-29.943014196767464,22.745117805530313,-25.398639309790696,-30.25152861372775,-32.940520109705815,-208.7652497696383,-23.21614947018087,-716.1117596377073,-132.013513672516
1741675269.158928,1.03518212,-18.32664871,-10,-10,-325.69124220000003,-4.536751165357343,17.09374533475223,-4.536751165357343,9.523080203812794,-33.16415913756739,0.0,17.128944974667732,-48.472553914840134,-3.3518563890499666,-329.04309858905,34.15087801906335,973.8138374138543,0.0
1741675269.1629303,17.128944974667732,-48.472553914840134,69.99,47.95,-329.04309858905,51.01806904458427,1.739370821172927,51.01806904458427,15.406607504480357,-48.229727861179626,34.15087801906335,13.829119665902935,-48.962491788163014,32.940520109705815,-296.1025784793442,33.10113169950044,999.2956407886229,282.60817774064765
1741675269.165932,13.829119665902935,-48.962491788163014,69.99,47.95,-296.1025784793442,51.01806904458427,1.739370821172927,51.01806904458427,12.251631827325513,-49.6952557151464,33.10113169950044,11.32620165535198,-51.16800479436826,32.940520109705815,-263.1620583696383,34.14831742155851,1029.2953019087663,282.5869880718384
