Time (t),[Measured] Current Position ~ r(t) (m)_X,[Measured] Current Position ~ r(t) (m)_Y,[Measured] Steering Angles ~ delta(t) (deg)_FL,[Measured] Steering Angles ~ delta(t) (deg)_FR,[Measured] Current Yaw Angle ~ Phi(t) (deg),[Measured] Steering Wheel Angle ~ Theta(t) (deg),[Computed] Rotation direction ~ (CW/CCW),[Computed] Turning Radius ~ R(delta) (m),[Computed] Vehicle Steering Angle ~ Delta(t) (deg),[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_X,[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_Y,[Computed] Current Error to Trajectory ~ e(t),[Computed] Predicted Position ~ r_tp(t) (m)_X,[Computed] Predicted Position ~ r_tp(t) (m)_Y,[Computed] Change of Yaw Angle ~ Delta_phi(t) (deg),[Computed] Predicted Yaw Angle ~ Phi_tp(t) (deg),[Computed] Predicted Error to Trajectory ~ eps_tp(t),[Computed] Desired Steering Wheel Angle ~ Theta_d(t) (deg),[Computed] Torque applied ~ Tau_das (N.m)
1741763429.6620357,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360854333266616,-18.329950378276408,9.383396254836403e-11,49.97246551523055,0.003914881167476753,0.11215308409583317,3.834626648262885e-06
1741763429.7003555,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360853569582105,-18.32995046908036,9.158500637868905e-11,49.97246551522831,0.003914956379914318,0.11215523877345285,3.834700318855944e-06
1741763429.7499113,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360852545127273,-18.329950590850785,8.856573754884082e-11,49.97246551522528,0.003915057278527161,0.11215812930579017,3.834799149061264e-06
1741763429.797489,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360852763988078,-18.329950565239415,8.919086536570043e-11,49.972465515225906,0.003915035717498086,0.1121575116278062,3.834778030030284e-06
1741763429.84203,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.03608532063663,-18.329950512154028,9.050537627081127e-11,49.97246551522722,0.003914992153873819,0.1121562636219008,3.8347353594542535e-06
1741763429.889248,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360853923484683,-18.329950427403674,9.262272667045421e-11,49.97246551522934,0.003914921519997196,0.11215424011039024,3.834666173562274e-06
1741763429.9368055,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.03608519397676,-18.329950663261116,8.675512830650517e-11,49.97246551522347,0.003915116896518001,0.11215983723541927,3.8348575448915865e-06
1741763429.9831827,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360851474106312,-18.32995071867481,8.536583311435505e-11,49.97246551522208,0.003915162761048444,0.11216115115743112,3.834902469205537e-06
1741763430.0349755,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360852181911469,-18.329950634855777,8.746466198584724e-11,49.97246551522418,0.003915093042111745,0.11215915385701863,3.83483417949734e-06
1741763430.0791273,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360852316953242,-18.329950618557632,8.787078184825966e-11,49.97246551522459,0.003915079744544781,0.11215877290978622,3.834821154528648e-06
1741763430.1269422,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360836945474148,-18.32995244814083,4.2292681953650156e-11,49.97246551517901,0.003916594129758582,0.11220215685044013,3.836304495056279e-06
1741763430.1677504,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360852601006627,-18.32995058479719,8.871822234803874e-11,49.97246551522544,0.003915051767439653,0.1121579714247628,3.8347937509502826e-06
1741763430.2138047,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360854100435972,-18.329950405983254,9.315736736842835e-11,49.97246551522988,0.003914904097582288,0.11215374099496865,3.834649108304447e-06
1741763430.260927,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.03608541470021,-18.32995040062815,9.328449774656005e-11,49.972465515230006,0.003914899509185299,0.11215360954707755,3.834644613968958e-06
1741763430.3088686,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.036084860097617,-18.329951060935855,7.683780609661472e-11,49.97246551521355,0.003915445758433103,0.11216925843530823,3.835179665183187e-06
1741763430.3574157,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360850607976317,-18.329950821585953,8.279901745572027e-11,49.97246551521951,0.003915248073193841,0.11216359517036736,3.834986032463824e-06
1741763430.4025013,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360852936282754,-18.329950544750318,8.969562748905684e-11,49.97246551522642,0.003915018748172536,0.1121570254924386,3.834761408573547e-06
1741763430.4472756,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360842319205403,-18.329951808787882,5.823463527786697e-11,49.972465515194955,0.003916064611959401,0.11218698728290506,3.835785832298304e-06
1741763430.4952402,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360853895545006,-18.329950430430472,9.25385141060715e-11,49.97246551522926,0.00391492427541536,0.11215431904730602,3.834668872494748e-06
1741763430.5408819,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360852256417274,-18.32995062554255,8.768612763915446e-11,49.97246551522441,0.003915085709564573,0.11215894379501562,3.834826997266365e-06
1741763430.590187,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360853346064687,-18.329950495855883,9.092642204504098e-11,49.97246551522764,0.003914978391204303,0.11215586935046175,3.8347218789175474e-06
1741763430.6368957,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360851725563407,-18.329950688872486,8.611422919313172e-11,49.97246551522284,0.003915137992577635,0.11216044159300995,3.834878208484933e-06
1741763430.6837893,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360852694138885,-18.329950573388487,8.89882272463743e-11,49.9724655152257,0.00391504259897169,0.11215770876750335,3.834784770434637e-06
1741763430.731036,1.0360822677612305,-18.329954147338867,0.0,0.0,49.97246551513672,0.16479995117038485,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.8542505633,1932434.9592160466,0.003918000556562901,1.0360851138830185,-18.329950758256018,8.439372371831357e-11,49.97246551522111,0.003915195787988772,0.27696204847996153,3.834934819098185e-06
1741763430.778423,1.0360746383666992,-18.329965591430664,0.01537804864346981,0.015375348739326,49.97261428833008,0.16479995117038485,1.0,11194.753337705606,0.006920122022081096,-8572.07166573809,7180.581477395494,0.0039255124381198546,1.03838118481508,-18.32721874868821,1.8357692400342035e-05,49.97263264602248,0.00321806175550599,0.2569906295718618,3.158135361969145e-06
1741763430.8254173,1.035914421081543,-18.330156326293945,0.015369860455393791,0.015380430966615677,49.97246551513672,0.16479995117038485,1.0,11200.717266208665,0.006916437337235318,-8576.61992488278,7184.439281882966,0.004088568577035248,1.057237932958742,-18.30476244168767,0.00016962217091818504,49.972635137307634,0.03056273355343362,1.0403577726676927,3.1239458008717375e-05
1741763430.8710842,1.0357275009155273,-18.330385208129883,0.015374868176877499,0.015377122908830643,49.972599029541016,0.16479995117038485,1.0,11197.069100012024,0.006918690812032351,-8573.843360468944,7182.072732475022,0.004289829102674035,1.0454195102847734,-18.318843087408823,7.712230381562755e-05,49.97267615184483,0.01240353942606299,0.5201351812391493,1.3302266101522454e-05
1741763430.9155073,1.0357893705368042,-18.330320358276367,0.015375196933746338,0.015373239293694496,49.97272872924805,0.16479995117038485,1.0,11196.829681062372,0.006918838752631825,-8573.676265749426,7181.899403650515,0.004222798823241631,1.0447133465768275,-18.319692833299086,7.101253162087993e-05,49.97279974177967,0.011333724954915574,0.4894872542097656,1.1965010100640445e-05
1741763430.965019,1.0361891984939575,-18.329851150512695,0.015369824133813381,0.015380609780550003,49.97285079956055,0.16479995117038485,1.0,11200.743735461854,0.006916420992523194,-8576.68835336326,7184.3989303198605,0.003813707420388495,1.0576008850202925,-18.304351911416234,0.00017032453656379816,49.973021124097116,0.031106520240910814,1.0559361137416141,2.9657791766306623e-05
1741763431.0111723,1.0367076396942139,-18.329240798950195,0.015370229259133339,0.015380787663161755,49.97294998168945,0.16479995117038485,1.0,11200.44850856805,0.006916603298927639,-8576.474235920692,7184.19481720919,0.003378760514913471,1.0571735965240805,-18.30486774948804,0.00016280611137278988,49.97311278780082,0.030439488060211628,1.0368270493648786,2.5711935088005774e-05
