Time (t),[Measured] Speed,[Measured] Current Position ~ r(t) (m)_X,[Measured] Current Position ~ r(t) (m)_Y,[Measured] Steering Angles ~ delta(t) (deg)_FL,[Measured] Steering Angles ~ delta(t) (deg)_FR,[Measured] Current Yaw Angle ~ Phi(t) (deg),[Measured] Steering Wheel Angle ~ Theta(t) (deg),[Computed] Rotation direction ~ (CW/CCW),[Computed] Turning Radius ~ R(delta) (m),[Computed] Vehicle Steering Angle ~ Delta(t) (deg),[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_X,[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_Y,[Computed] Current Error to Trajectory ~ e(t),[Computed] Predicted Position ~ r_tp(t) (m)_X,[Computed] Predicted Position ~ r_tp(t) (m)_Y,[Computed] Change of Yaw Angle ~ Delta_phi(t) (deg),[Computed] Predicted Yaw Angle ~ Phi_tp(t) (deg),[Computed] Predicted Error to Trajectory ~ eps_tp(t),[Computed] Desired Steering Wheel Angle ~ Theta_d(t) (deg),[Computed] Torque applied ~ Tau_das (N.m)
1742551332.134641,3.925559403304242e-06,1.0410629510879517,-18.32391929626465,0.0,0.0,49.9581413269043,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300279.655843537,1933010.105598378,0.006172910410209696,3.3571095787920058,-15.567848175298423,6.864864968618045e-05,49.958209975553984,3.6053404142787837,103.28539472306103,0.005563860843912811
1742551332.2448723,3.770903596570451e-06,1.0410627126693726,-18.32391929626465,0.0,0.0,49.9581413269043,29.74639118625446,1.0,3004644.769999303,2.5783100780893895e-05,-2300279.6558437753,1933010.105598378,0.006172869359928377,3.3571093403734267,-15.567848175298423,6.864864968618045e-05,49.958209975553984,3.6053402610499914,133.03178151963394,0.005563823607387917
1742551332.3566,3.590259999204603e-06,1.0410627126693726,-18.32391929626465,3.208102226257324,4.496474266052246,49.9581413269043,97.42423780022584,1.0,53.623046724058156,1.4448502072474556,-40.868192759770345,15.128217342764941,0.006172869359928377,3.1907855131545375,-15.437082811437005,3.8465700635871363,53.804711390491434,3.6048367762602846,200.69520435685573,0.005563046620930025
1742551332.4677336,3.918116847240241e-06,1.0410629510879517,-18.32391929626465,8.8409423828125,10.941250801086426,49.9581413269043,165.82995086519975,1.0,19.36477023372025,4.003772924680104,-14.617795720154135,-6.931181639369164,0.006172910410209696,2.877036023245658,-15.233301156390633,10.651549373300771,60.60969070020507,3.6005895459929618,268.9792432373607,0.00555652917283804
1742551332.5776963,4.500792932073976e-06,1.0410627126693726,-18.32391929626465,13.828672409057617,17.102752685546875,49.9581413269043,231.5851313821833,1.0,12.281006505348257,6.320851708628842,-9.17367227938616,-11.506125677616275,0.006172869359928377,2.575366800003069,-15.081486008462788,16.795431722739508,66.7535730496438,3.593075891734641,334.5191734154831,0.0055448970199965236
1742551332.6888976,4.301226363301236e-06,1.0410629510879517,-18.32391929626465,18.373374938964844,23.277074813842773,49.9581413269043,297.62871181371503,1.0,9.14681422661956,8.500664532540371,-6.754440103319337,-13.539115995708123,0.006172910410209696,2.2799927754691938,-14.968533028961453,22.55045321100031,72.50859453790461,3.582881840167053,400.2707157815341,0.005529202152429618
1742551332.8002195,4.410403435020464e-06,1.0410627126693726,-18.32391929626465,22.469850540161133,29.58470344543457,49.9581413269043,364.7022919400616,1.0,7.389417568036425,10.543183766490863,-5.390443109266301,-14.685344732343651,0.006172869359928377,1.996146718895405,-14.889752915407247,27.91354045808873,77.87168178499303,3.5706465172435338,466.993779725632,0.005510283620356895
1742551332.9111016,4.404747135680464e-06,1.0410629510879517,-18.32391929626465,26.427677154541016,35.71031188964844,49.9581413269043,427.79320657979065,1.0,6.194837843880177,12.606900812656866,-4.45706897515974,-15.469701148759828,0.006172910410209696,1.7053825840223347,-14.837082232899403,33.29623977984564,83.25438110674995,3.5557289703866974,529.6573381275683,0.0054872990942960624
1742551333.0235524,4.194915449453743e-06,1.041062593460083,-18.32391929626465,30.05693244934082,41.456520080566406,49.9581413269043,448.7502670369579,1.0,5.36543317380474,14.595904388262543,-3.8038751308098693,-16.018609861392555,0.006172848838138579,1.424098838644329,-14.811894767729715,38.443271878611384,88.40141320551568,3.5390106446824183,550.1354538330455,0.005461444436546984
1742551333.1341352,4.158525209104732e-06,1.0410624742507935,-18.32391929626465,30.75497817993164,41.04378890991211,49.9581413269043,441.293069246498,1.0,5.227249461860009,14.990677346655294,-3.6944591494337455,-16.110557173128917,0.006172828318582718,1.368377187520415,-14.809855377277025,39.45952986404848,89.41767119095277,3.535427801860658,542.5756151564128,0.005455897213407531
