Time (t),[Measured] Speed ~ V(t) (m/s),[Measured] Current Position ~ X(t) (m),[Measured] Current Position ~ Y(t) (m),[Measured] Steering Angle FL ~ delta_fl(t) (deg),[Measured] Steering Angle FR ~ delta_fr(t) (deg),[Measured] Current Yaw Angle ~ Phi(t) (deg),[Measured] Steering Wheel Angle SWA ~ Theta(t) (deg),[Measured] VelocityX ~ Vx(t) (m/s),[Measured] VelocityY ~ Vy(t) (m/s),[Measured] AccelerationX ~ Ax(t) (m/s^2),[Measured] AccelerationY ~ Ay(t) (m/s^2),[Measured] Angular VelocityZ ~ Phi_dot(t) (rad/s^2),[Computed] Rotation direction ~ rotate(t) (CW/CCW),[Computed] Turning Radius ~ R(delta) (m),[Computed] Vehicle Steering Angle ~ Delta_v(t) (deg),[Computed] Center of Rotation to WORLD ~ X_c(t) (m),[Computed] Center of Rotation to WORLD ~ Y_c(t) (m),[Computed] Current Error to Trajectory ~ e(t) (m),[Computed] Predicted Position ~ X_tp(t) (m),[Computed] Predicted Position ~ Y_tp(t) (m),[Computed] Change of Yaw Angle ~ Delta_Phi(t) (deg),[Computed] Predicted Yaw Angle ~ Phi_tp(t) (deg),[Computed] Predicted Error to Trajectory ~ eps_tp(t) (m),[Computed] Desired Steering Wheel Angle ~ Theta_d(t) (deg),[Computed] Torque applied ~ Tau_das (N.m)
1742875719.0830455,4.25977191218733e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,9.747586324759302e-10,49.97069168188296,inf,inf,inf
1742875719.1278,4.516966207491174e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.0336121027412556e-09,49.970691681941815,inf,inf,inf
1742875719.1770582,3.3085280656861816e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,7.570866138606228e-10,49.970691681665286,inf,inf,inf
1742875719.21996,4.303687912946746e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,9.84807879648434e-10,49.97069168189301,inf,inf,inf
1742875719.2673702,4.625564759217277e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.0584625825208282e-09,49.97069168196666,inf,inf,inf
1742875719.3161263,3.987011596559662e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,9.123432079565442e-10,49.97069168182055,inf,inf,inf
1742875719.360427,4.251988781064069e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,9.729776276694553e-10,49.97069168188118,inf,inf,inf
1742875719.4100115,4.671423688200946e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.0689564276901058e-09,49.97069168197716,inf,inf,inf
1742875719.4545288,4.7363811846993235e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.0838205757621339e-09,49.97069168199202,inf,inf,inf
1742875719.5017679,4.729357129028598e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.082213269305081e-09,49.97069168199042,inf,inf,inf
1742875719.5469427,5.1275958763674e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.1733417768301637e-09,49.970691682081544,inf,inf,inf
1742875719.594356,5.171611386358131e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.183413794583871e-09,49.97069168209162,inf,inf,inf
1742875719.642927,3.46690981414589e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,7.933289244162738e-10,49.97069168170153,inf,inf,inf
1742875719.6873746,3.315860888064368e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,7.587645750427932e-10,49.97069168166697,inf,inf,inf
1742875719.7359557,4.94547706288369e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.1316677414031433e-09,49.97069168203987,inf,inf,inf
1742875719.7809513,4.722466562088756e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.08063650891844e-09,49.97069168198884,inf,inf,inf
1742875719.8298547,4.447252912944256e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.0176596909551858e-09,49.97069168192586,inf,inf,inf
1742875719.8735592,4.11831537744895e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,9.423892988123433e-10,49.970691681850596,inf,inf,inf
1742875719.9220474,4.39334200990239e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.0053233219645636e-09,49.97069168191352,inf,inf,inf
1742875719.967084,4.681086523600443e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.071167563031157e-09,49.97069168197937,inf,inf,inf
1742875720.0147686,3.8951731720580405e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,8.913279285187357e-10,49.97069168179953,inf,inf,inf
1742875720.0617163,3.8244324085752506e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,8.75140402215859e-10,49.97069168178334,inf,inf,inf
1742875720.1059847,4.167675087281576e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,9.536842235753814e-10,49.97069168186189,inf,inf,inf
1742875720.1549828,4.9062416692477e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.1226895520930886e-09,49.970691682030896,inf,inf,inf
1742875720.2020452,5.060838122307858e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.1580656779225978e-09,49.97069168206627,inf,inf,inf
1742875720.2466302,3.0198404021556653e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,6.910265529191951e-10,49.97069168159923,inf,inf,inf
1742875720.2967992,4.327103204859303e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,9.9016597355445e-10,49.970691681898366,inf,inf,inf
1742875720.3450363,4.472495106205803e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.0234358325635954e-09,49.97069168193164,inf,inf,inf
1742875720.3885694,3.5085540265090537e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,8.028583209028596e-10,49.97069168171107,inf,inf,inf
1742875720.4375603,4.650537573167365e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.0641770823759538e-09,49.970691681972376,inf,inf,inf
1742875720.4862318,4.815296834853361e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.1018787518360729e-09,49.97069168201008,inf,inf,inf
1742875720.5320878,3.7161311467329283e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,8.503579509332428e-10,49.97069168175856,inf,inf,inf
1742875720.5748956,3.949115751996477e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,9.036715460966106e-10,49.97069168181187,inf,inf,inf
1742875720.6234393,4.278144217050933e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,9.789627455442942e-10,49.97069168188717,inf,inf,inf
1742875720.6649826,2.145148712999097e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,4.908718750781195e-10,49.970691681399074,inf,inf,inf
1742875720.717862,5.1876609376212194e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.1870863946581383e-09,49.970691682095286,inf,inf,inf
1742875720.7618718,4.770109506812599e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.0915385883263238e-09,49.970691681999746,inf,inf,inf
1742875720.8076332,4.645708815680463e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.0630721234388277e-09,49.970691681971275,inf,inf,inf
1742875720.8517988,3.8493719221087645e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,8.808472819755454e-10,49.97069168178905,inf,inf,inf
1742875720.9008589,5.121979493418711e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.172056586478337e-09,49.97069168208026,inf,inf,inf
1742875720.9513736,4.982339239159851e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.1401028701559847e-09,49.970691682048304,inf,inf,inf
1742875720.9939182,4.099394137321149e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,9.380595735284716e-10,49.97069168184626,inf,inf,inf
1742875721.042227,4.34296819240919e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,9.937963401297427e-10,49.970691681902,inf,inf,inf
1742875721.0873892,4.6706409510029636e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.0687773148511036e-09,49.97069168197698,inf,inf,inf
